//------------------------------------------------------------------------------
//--  Generated by TunerStudio 
//--  Date: 11-7-2025
//--  Time: 18:47
//--  This file merely records what was sent to your Controller,        
//--  and may be deleted at any time.                                                    
//--  Selected type: AFR Table 
//------------------------------------------------------------------------------

//-- generated using refTable Generator:linearGenerator
//-- Table Identifier:002//-- generated by Custom linear generator using user input data:
//-- Volts:0, 5     AFR:8.7, 18.7
//----------------------------------------------------------//
ADC 	Value 	MSVal 	volts
602	14.58	146 	2.939
603	14.59	146 	2.944
604	14.60	146 	2.949
605	14.61	146 	2.954
606	14.62	146 	2.959
607	14.63	146 	2.964
608	14.64	146 	2.969
609	14.65	146 	2.974
610	14.66	147 	2.979
611	14.67	147 	2.983
612	14.68	147 	2.988
613	14.69	147 	2.993
614	14.70	147 	2.998
615	14.71	147 	3.003
616	14.72	147 	3.008
617	14.73	147 	3.013
618	14.74	147 	3.018
619	14.74	147 	3.022
620	14.75	148 	3.027
621	14.76	148 	3.032
622	14.77	148 	3.037
623	14.78	148 	3.042
624	14.79	148 	3.047
625	14.80	148 	3.052
626	14.81	148 	3.057
627	14.82	148 	3.062
628	14.83	148 	3.066
629	14.84	148 	3.071
630	14.85	149 	3.076
631	14.86	149 	3.081
632	14.87	149 	3.086
633	14.88	149 	3.091
634	14.89	149 	3.096
635	14.90	149 	3.101
636	14.91	149 	3.105
637	14.92	149 	3.110
638	14.93	149 	3.115
639	14.94	149 	3.120
640	14.95	150 	3.125
641	14.96	150 	3.130
642	14.97	150 	3.135
643	14.98	150 	3.140
644	14.99	150 	3.145
645	15.00	150 	3.149
646	15.01	150 	3.154
647	15.02	150 	3.159
648	15.03	150 	3.164
649	15.04	150 	3.169
650	15.05	150 	3.174
651	15.06	151 	3.179
652	15.07	151 	3.184
653	15.08	151 	3.188
654	15.09	151 	3.193
655	15.10	151 	3.198
656	15.11	151 	3.203
657	15.12	151 	3.208
658	15.13	151 	3.213
659	15.14	151 	3.218
660	15.15	151 	3.223
661	15.16	152 	3.228
662	15.16	152 	3.232
663	15.17	152 	3.237
664	15.18	152 	3.242
665	15.19	152 	3.247
666	15.20	152 	3.252
667	15.21	152 	3.257
668	15.22	152 	3.262
669	15.23	152 	3.267
670	15.24	152 	3.271
671	15.25	153 	3.276
672	15.26	153 	3.281
673	15.27	153 	3.286
674	15.28	153 	3.291
675	15.29	153 	3.296
676	15.30	153 	3.301
677	15.31	153 	3.306
678	15.32	153 	3.311
679	15.33	153 	3.315
680	15.34	153 	3.320
681	15.35	154 	3.325
682	15.36	154 	3.330
683	15.37	154 	3.335
684	15.38	154 	3.340
685	15.39	154 	3.345
686	15.40	154 	3.350
687	15.41	154 	3.354
688	15.42	154 	3.359
689	15.43	154 	3.364
690	15.44	154 	3.369
691	15.45	154 	3.374
692	15.46	155 	3.379
693	15.47	155 	3.384
694	15.48	155 	3.389
695	15.49	155 	3.394
696	15.50	155 	3.398
697	15.51	155 	3.403
698	15.52	155 	3.408
699	15.53	155 	3.413
700	15.54	155 	3.418
701	15.55	155 	3.423
702	15.56	156 	3.428
703	15.57	156 	3.433
704	15.58	156 	3.438
705	15.58	156 	3.442
706	15.59	156 	3.447
707	15.60	156 	3.452
708	15.61	156 	3.457
709	15.62	156 	3.462
710	15.63	156 	3.467
711	15.64	156 	3.472
712	15.65	157 	3.477
713	15.66	157 	3.481
714	15.67	157 	3.486
715	15.68	157 	3.491
716	15.69	157 	3.496
717	15.70	157 	3.501
718	15.71	157 	3.506
719	15.72	157 	3.511
720	15.73	157 	3.516
721	15.74	157 	3.521
722	15.75	158 	3.525
723	15.76	158 	3.530
724	15.77	158 	3.535
725	15.78	158 	3.540
726	15.79	158 	3.545
727	15.80	158 	3.550
728	15.81	158 	3.555
729	15.82	158 	3.560
730	15.83	158 	3.564
731	15.84	158 	3.569
732	15.85	158 	3.574
733	15.86	159 	3.579
734	15.87	159 	3.584
735	15.88	159 	3.589
736	15.89	159 	3.594
737	15.90	159 	3.599
738	15.91	159 	3.604
739	15.92	159 	3.608
740	15.93	159 	3.613
741	15.94	159 	3.618
742	15.95	159 	3.623
743	15.96	160 	3.628
744	15.97	160 	3.633
745	15.98	160 	3.638
746	15.99	160 	3.643
747	15.99	160 	3.647
748	16.00	160 	3.652
749	16.01	160 	3.657
750	16.02	160 	3.662
751	16.03	160 	3.667
752	16.04	160 	3.672
753	16.05	161 	3.677
754	16.06	161 	3.682
755	16.07	161 	3.687
756	16.08	161 	3.691
757	16.09	161 	3.696
758	16.10	161 	3.701
759	16.11	161 	3.706
760	16.12	161 	3.711
761	16.13	161 	3.716
762	16.14	161 	3.721
763	16.15	162 	3.726
764	16.16	162 	3.730
765	16.17	162 	3.735
766	16.18	162 	3.740
767	16.19	162 	3.745
768	16.20	162 	3.750
769	16.21	162 	3.755
770	16.22	162 	3.760
771	16.23	162 	3.765
772	16.24	162 	3.770
773	16.25	162 	3.774
774	16.26	163 	3.779
775	16.27	163 	3.784
776	16.28	163 	3.789
777	16.29	163 	3.794
778	16.30	163 	3.799
779	16.31	163 	3.804
780	16.32	163 	3.809
781	16.33	163 	3.813
782	16.34	163 	3.818
783	16.35	163 	3.823
784	16.36	164 	3.828
785	16.37	164 	3.833
786	16.38	164 	3.838
787	16.39	164 	3.843
788	16.40	164 	3.848
789	16.41	164 	3.853
790	16.41	164 	3.857
791	16.42	164 	3.862
792	16.43	164 	3.867
793	16.44	164 	3.872
794	16.45	165 	3.877
795	16.46	165 	3.882
796	16.47	165 	3.887
797	16.48	165 	3.892
798	16.49	165 	3.896
799	16.50	165 	3.901
800	16.51	165 	3.906
801	16.52	165 	3.911
802	16.53	165 	3.916
803	16.54	165 	3.921
804	16.55	166 	3.926
805	16.56	166 	3.931
806	16.57	166 	3.936
807	16.58	166 	3.940
808	16.59	166 	3.945
809	16.60	166 	3.950
810	16.61	166 	3.955
811	16.62	166 	3.960
812	16.63	166 	3.965
813	16.64	166 	3.970
814	16.65	166 	3.975
815	16.66	167 	3.979
816	16.67	167 	3.984
817	16.68	167 	3.989
818	16.69	167 	3.994
819	16.70	167 	3.999
820	16.71	167 	4.004
821	16.72	167 	4.009
822	16.73	167 	4.014
823	16.74	167 	4.019
824	16.75	167 	4.023
825	16.76	168 	4.028
826	16.77	168 	4.033
827	16.78	168 	4.038
828	16.79	168 	4.043
829	16.80	168 	4.048
830	16.81	168 	4.053
831	16.82	168 	4.058
832	16.83	168 	4.063
833	16.83	168 	4.067
834	16.84	168 	4.072
835	16.85	169 	4.077
836	16.86	169 	4.082
837	16.87	169 	4.087
838	16.88	169 	4.092
839	16.89	169 	4.097
840	16.90	169 	4.102
841	16.91	169 	4.106
842	16.92	169 	4.111
843	16.93	169 	4.116
844	16.94	169 	4.121
845	16.95	170 	4.126
846	16.96	170 	4.131
847	16.97	170 	4.136
848	16.98	170 	4.141
849	16.99	170 	4.146
850	17.00	170 	4.150
851	17.01	170 	4.155
852	17.02	170 	4.160
853	17.03	170 	4.165
854	17.04	170 	4.170
855	17.05	170 	4.175
856	17.06	171 	4.180
857	17.07	171 	4.185
858	17.08	171 	4.189
859	17.09	171 	4.194
860	17.10	171 	4.199
861	17.11	171 	4.204
862	17.12	171 	4.209
863	17.13	171 	4.214
864	17.14	171 	4.219
865	17.15	171 	4.224
866	17.16	172 	4.229
867	17.17	172 	4.233
868	17.18	172 	4.238
869	17.19	172 	4.243
870	17.20	172 	4.248
871	17.21	172 	4.253
872	17.22	172 	4.258
873	17.23	172 	4.263
874	17.24	172 	4.268
875	17.24	172 	4.272
876	17.25	173 	4.277
877	17.26	173 	4.282
878	17.27	173 	4.287
879	17.28	173 	4.292
880	17.29	173 	4.297
881	17.30	173 	4.302
882	17.31	173 	4.307
883	17.32	173 	4.312
884	17.33	173 	4.316
885	17.34	173 	4.321
886	17.35	174 	4.326
887	17.36	174 	4.331
888	17.37	174 	4.336
889	17.38	174 	4.341
890	17.39	174 	4.346
891	17.40	174 	4.351
892	17.41	174 	4.355
893	17.42	174 	4.360
894	17.43	174 	4.365
895	17.44	174 	4.370
896	17.45	175 	4.375
897	17.46	175 	4.380
898	17.47	175 	4.385
899	17.48	175 	4.390
900	17.49	175 	4.395
901	17.50	175 	4.399
902	17.51	175 	4.404
903	17.52	175 	4.409
904	17.53	175 	4.414
905	17.54	175 	4.419
906	17.55	175 	4.424
907	17.56	176 	4.429
908	17.57	176 	4.434
909	17.58	176 	4.438
910	17.59	176 	4.443
911	17.60	176 	4.448
912	17.61	176 	4.453
913	17.62	176 	4.458
914	17.63	176 	4.463
915	17.64	176 	4.468
916	17.65	176 	4.473
917	17.66	177 	4.478
918	17.66	177 	4.482
919	17.67	177 	4.487
920	17.68	177 	4.492
921	17.69	177 	4.497
922	17.70	177 	4.502
923	17.71	177 	4.507
924	17.72	177 	4.512
925	17.73	177 	4.517
926	17.74	177 	4.521
927	17.75	178 	4.526
928	17.76	178 	4.531
929	17.77	178 	4.536
930	17.78	178 	4.541
931	17.79	178 	4.546
932	17.80	178 	4.551
933	17.81	178 	4.556
934	17.82	178 	4.561
935	17.83	178 	4.565
936	17.84	178 	4.570
937	17.85	179 	4.575
938	17.86	179 	4.580
939	17.87	179 	4.585
940	17.88	179 	4.590
941	17.89	179 	4.595
942	17.90	179 	4.600
943	17.91	179 	4.604
944	17.92	179 	4.609
945	17.93	179 	4.614
946	17.94	179 	4.619
947	17.95	179 	4.624
948	17.96	180 	4.629
949	17.97	180 	4.634
950	17.98	180 	4.639
951	17.99	180 	4.644
952	18.00	180 	4.648
953	18.01	180 	4.653
954	18.02	180 	4.658
955	18.03	180 	4.663
956	18.04	180 	4.668
957	18.05	180 	4.673
958	18.06	181 	4.678
959	18.07	181 	4.683
960	18.08	181 	4.688
961	18.08	181 	4.692
962	18.09	181 	4.697
963	18.10	181 	4.702
964	18.11	181 	4.707
965	18.12	181 	4.712
966	18.13	181 	4.717
967	18.14	181 	4.722
968	18.15	182 	4.727
969	18.16	182 	4.731
970	18.17	182 	4.736
971	18.18	182 	4.741
972	18.19	182 	4.746
973	18.20	182 	4.751
974	18.21	182 	4.756
975	18.22	182 	4.761
976	18.23	182 	4.766
977	18.24	182 	4.771
978	18.25	183 	4.775
979	18.26	183 	4.780
980	18.27	183 	4.785
981	18.28	183 	4.790
